"spp","M","S"
"Allenopithecus_nigroviridis",NA,FALSE
"Allocebus_trichotis",TRUE,TRUE
"Alouatta_belzebul",NA,FALSE
"Alouatta_caraya",NA,FALSE
"Alouatta_coibensis",FALSE,FALSE
"Alouatta_fusca",NA,FALSE
"Alouatta_palliata",FALSE,FALSE
"Alouatta_pigra",NA,FALSE
"Alouatta_sara",FALSE,NA
"Alouatta_seniculus",FALSE,FALSE
"Aotus_azarai",TRUE,FALSE
"Aotus_brumbacki",TRUE,NA
"Aotus_hershkovitzi",TRUE,NA
"Aotus_infulatus",TRUE,FALSE
"Aotus_lemurinus",TRUE,FALSE
"Aotus_miconax",TRUE,NA
"Aotus_nancymaae",TRUE,FALSE
"Aotus_nigriceps",TRUE,FALSE
"Aotus_trivirgatus",TRUE,FALSE
"Aotus_vociferans",TRUE,FALSE
"Arctocebus_aureus",NA,NA
"Arctocebus_calabarensis",FALSE,TRUE
"Ateles_belzebuth",FALSE,FALSE
"Ateles_chamek",NA,NA
"Ateles_fusciceps",NA,FALSE
"Ateles_geoffroyi",NA,FALSE
"Ateles_marginatus",NA,NA
"Ateles_paniscus",NA,FALSE
"Avahi_laniger",TRUE,FALSE
"Brachyteles_arachnoides",FALSE,FALSE
"Cacajao_calvus",TRUE,FALSE
"Cacajao_melanocephalus",NA,FALSE
"Callicebus_brunneus",TRUE,FALSE
"Callicebus_caligatus",NA,NA
"Callicebus_cinerascens",NA,NA
"Callicebus_cupreus",TRUE,FALSE
"Callicebus_donacophilus",NA,FALSE
"Callicebus_dubius",NA,NA
"Callicebus_hoffmannsi",NA,NA
"Callicebus_modestus",NA,NA
"Callicebus_moloch",TRUE,FALSE
"Callicebus_oenanthe",NA,NA
"Callicebus_olallae",NA,NA
"Callicebus_personatus",TRUE,FALSE
"Callicebus_torquatus",TRUE,FALSE
"Callimico_goeldii",FALSE,FALSE
"Callithrix_argentata",NA,FALSE
"Callithrix_aurita",NA,FALSE
"Callithrix_flaviceps",TRUE,FALSE
"Callithrix_geoffroyi",TRUE,NA
"Callithrix_humeralifera",FALSE,FALSE
"Callithrix_jacchus",TRUE,FALSE
"Callithrix_kuhlii",TRUE,FALSE
"Callithrix_penicillata",TRUE,FALSE
"Callithrix_pygmaea",TRUE,FALSE
"Cebus_albifrons",NA,FALSE
"Cebus_apella",NA,FALSE
"Cebus_capucinus",NA,FALSE
"Cebus_olivaceus",FALSE,FALSE
"Cercocebus_agilis",NA,FALSE
"Cercocebus_galeritus",NA,FALSE
"Cercocebus_torquatus",NA,FALSE
"Cercopithecus_ascanius",FALSE,FALSE
"Cercopithecus_campbelli",NA,FALSE
"Cercopithecus_cephus",FALSE,FALSE
"Cercopithecus_diana",FALSE,FALSE
"Cercopithecus_dryas",NA,NA
"Cercopithecus_erythrogaster",NA,FALSE
"Cercopithecus_erythrotis",NA,FALSE
"Cercopithecus_hamlyni",NA,NA
"Cercopithecus_lhoesti",NA,FALSE
"Cercopithecus_mitis",FALSE,FALSE
"Cercopithecus_mona",FALSE,NA
"Cercopithecus_neglectus",FALSE,FALSE
"Cercopithecus_nictitans",FALSE,FALSE
"Cercopithecus_petaurista",FALSE,FALSE
"Cercopithecus_pogonias",FALSE,FALSE
"Cercopithecus_preussi",FALSE,FALSE
"Cercopithecus_sclateri",FALSE,FALSE
"Cercopithecus_solatus",FALSE,FALSE
"Cercopithecus_wolfi",FALSE,FALSE
"Cheirogaleus_major",TRUE,TRUE
"Cheirogaleus_medius",TRUE,FALSE
"Chiropotes_albinasus",NA,FALSE
"Chiropotes_satanas",NA,FALSE
"Chlorocebus_aethiops",FALSE,FALSE
"Colobus_angolensis",FALSE,FALSE
"Colobus_guereza",FALSE,FALSE
"Colobus_polykomos",FALSE,FALSE
"Colobus_satanas",FALSE,FALSE
"Daubentonia_madagascariensis",FALSE,TRUE
"Erythrocebus_patas",FALSE,FALSE
